省份,高校数量,本科,专科
福建,89,39,50
西藏,7,4,3
新疆,56,19,37
内蒙古,54,17,37
陕西,97,57,40
山东,152,70,82
广东,154,67,87
浙江,109,60,49
江苏,175,77,98
北京,92,67,25
上海,63,38,25
湖南,128,52,76
湖北,129,68,61
